Yr,Pre_marital_s1,Pre_marital_s2,Age_gp,No_of_marri
2019,Previous marital status of bridegrooms,Widowed / Divorced,50+,5641
2019,Previous marital status of bridegrooms,Others,50+,17
2019,Previous marital status of bridegrooms,Total,50+,6636
2020,Previous marital status of bridegrooms,Never married,16 – 19,31
2020,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2020,Previous marital status of bridegrooms,Others,16 – 19,–
2020,Previous marital status of bridegrooms,Total,16 – 19,31
2020,Previous marital status of bridegrooms,Never married,20 – 24,851
2020,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,5
2020,Previous marital status of bridegrooms,Others,20 – 24,–
2020,Previous marital status of bridegrooms,Total,20 – 24,856
2020,Previous marital status of bridegrooms,Never married,25 – 29,6486
2020,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,76
2020,Previous marital status of bridegrooms,Others,25 – 29,–
2020,Previous marital status of bridegrooms,Total,25 – 29,6562
2020,Previous marital status of bridegrooms,Never married,30 – 34,9079
2020,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,397
2020,Previous marital status of bridegrooms,Others,30 – 34,–
2020,Previous marital status of bridegrooms,Total,30 – 34,9476
2020,Previous marital status of bridegrooms,Never married,35 – 39,4075
2020,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,773
2020,Previous marital status of bridegrooms,Others,35 – 39,–
2020,Previous marital status of bridegrooms,Total,35 – 39,4848
2020,Previous marital status of bridegrooms,Never married,40 – 44,1385
2020,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,731
2020,Previous marital status of bridegrooms,Others,40 – 44,–
2020,Previous marital status of bridegrooms,Total,40 – 44,2116
2020,Previous marital status of bridegrooms,Never married,45 – 49,591
2020,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,716
2020,Previous marital status of bridegrooms,Others,45 – 49,–
2020,Previous marital status of bridegrooms,Total,45 – 49,1307
2020,Previous marital status of bridegrooms,Never married,50+,581
2020,Previous marital status of bridegrooms,Widowed / Divorced,50+,2070
2020,Previous marital status of bridegrooms,Others,50+,16
2020,Previous marital status of bridegrooms,Total,50+,2667
2021,Previous marital status of bridegrooms,Never married,16 – 19,25
2021,Previous marital status of bridegrooms,Widowed / Divorced,16 – 19,–
2021,Previous marital status of bridegrooms,Others,16 – 19,–
2021,Previous marital status of bridegrooms,Total,16 – 19,25
2021,Previous marital status of bridegrooms,Never married,20 – 24,785
2021,Previous marital status of bridegrooms,Widowed / Divorced,20 – 24,1
2021,Previous marital status of bridegrooms,Others,20 – 24,–
2021,Previous marital status of bridegrooms,Total,20 – 24,786
2021,Previous marital status of bridegrooms,Never married,25 – 29,5951
2021,Previous marital status of bridegrooms,Widowed / Divorced,25 – 29,106
2021,Previous marital status of bridegrooms,Others,25 – 29,–
2021,Previous marital status of bridegrooms,Total,25 – 29,6057
2021,Previous marital status of bridegrooms,Never married,30 – 34,8571
2021,Previous marital status of bridegrooms,Widowed / Divorced,30 – 34,380
2021,Previous marital status of bridegrooms,Others,30 – 34,–
2021,Previous marital status of bridegrooms,Total,30 – 34,8951
2021,Previous marital status of bridegrooms,Never married,35 – 39,3976
2021,Previous marital status of bridegrooms,Widowed / Divorced,35 – 39,773
2021,Previous marital status of bridegrooms,Others,35 – 39,–
2021,Previous marital status of bridegrooms,Total,35 – 39,4749
2021,Previous marital status of bridegrooms,Never married,40 – 44,1405
2021,Previous marital status of bridegrooms,Widowed / Divorced,40 – 44,805
2021,Previous marital status of bridegrooms,Others,40 – 44,–
2021,Previous marital status of bridegrooms,Total,40 – 44,2210
2021,Previous marital status of bridegrooms,Never married,45 – 49,593
2021,Previous marital status of bridegrooms,Widowed / Divorced,45 – 49,720
2021,Previous marital status of bridegrooms,Others,45 – 49,–
2021,Previous marital status of bridegrooms,Total,45 – 49,1313
2021,Previous marital status of bridegrooms,Never married,50+,642
2021,Previous marital status of bridegrooms,Widowed / Divorced,50+,2163
2021,Previous marital status of bridegrooms,Others,50+,3
2021,Previous marital status of bridegrooms,Total,50+,2808
1991,Previous marital status of brides,Never married,16 – 19,1584
1991,Previous marital status of brides,Widowed / Divorced,16 – 19,–
1991,Previous marital status of brides,Others,16 – 19,1
1991,Previous marital status of brides,Total,16 – 19,1585
1991,Previous marital status of brides,Never married,20 – 24,12228
1991,Previous marital status of brides,Widowed / Divorced,20 – 24,115
1991,Previous marital status of brides,Others,20 – 24,1
1991,Previous marital status of brides,Total,20 – 24,12344
1991,Previous marital status of brides,Never married,25 – 29,15855
1991,Previous marital status of brides,Widowed / Divorced,25 – 29,667
1991,Previous marital status of brides,Others,25 – 29,3
1991,Previous marital status of brides,Total,25 – 29,16525
1991,Previous marital status of brides,Never married,30 – 34,4958
1991,Previous marital status of brides,Widowed / Divorced,30 – 34,902
1991,Previous marital status of brides,Others,30 – 34,3
1991,Previous marital status of brides,Total,30 – 34,5863
1991,Previous marital status of brides,Never married,35 – 39,1201
1991,Previous marital status of brides,Widowed / Divorced,35 – 39,634
1991,Previous marital status of brides,Others,35 – 39,38
1991,Previous marital status of brides,Total,35 – 39,1873
1991,Previous marital status of brides,Never married,40 – 44,338
1991,Previous marital status of brides,Widowed / Divorced,40 – 44,313
1991,Previous marital status of brides,Others,40 – 44,161
1991,Previous marital status of brides,Total,40 – 44,812
1991,Previous marital status of brides,Never married,45 – 49,92
1991,Previous marital status of brides,Widowed / Divorced,45 – 49,136
1991,Previous marital status of brides,Others,45 – 49,245
1991,Previous marital status of brides,Total,45 – 49,473
1991,Previous marital status of brides,Never married,50+,239
1991,Previous marital status of brides,Widowed / Divorced,50+,152
1991,Previous marital status of brides,Others,50+,2702
1991,Previous marital status of brides,Total,50+,3093
1992,Previous marital status of brides,Never married,16 – 19,1644
1992,Previous marital status of brides,Widowed / Divorced,16 – 19,–
1992,Previous marital status of brides,Others,16 – 19,–
1992,Previous marital status of brides,Total,16 – 19,1644
1992,Previous marital status of brides,Never married,20 – 24,13543
1992,Previous marital status of brides,Widowed / Divorced,20 – 24,92
1992,Previous marital status of brides,Others,20 – 24,1
1992,Previous marital status of brides,Total,20 – 24,13636
1992,Previous marital status of brides,Never married,25 – 29,17354
1992,Previous marital status of brides,Widowed / Divorced,25 – 29,653
1992,Previous marital status of brides,Others,25 – 29,3
1992,Previous marital status of brides,Total,25 – 29,18010
1992,Previous marital status of brides,Never married,30 – 34,5704
1992,Previous marital status of brides,Widowed / Divorced,30 – 34,971
1992,Previous marital status of brides,Others,30 – 34,2
1992,Previous marital status of brides,Total,30 – 34,6677
1992,Previous marital status of brides,Never married,35 – 39,1328
1992,Previous marital status of brides,Widowed / Divorced,35 – 39,658
1992,Previous marital status of brides,Others,35 – 39,10
1992,Previous marital status of brides,Total,35 – 39,1996
1992,Previous marital status of brides,Never married,40 – 44,383
1992,Previous marital status of brides,Widowed / Divorced,40 – 44,287
1992,Previous marital status of brides,Others,40 – 44,120
1992,Previous marital status of brides,Total,40 – 44,790
1992,Previous marital status of brides,Never married,45 – 49,134
1992,Previous marital status of brides,Widowed / Divorced,45 – 49,121
1992,Previous marital status of brides,Others,45 – 49,193
1992,Previous marital status of brides,Total,45 – 49,448
1992,Previous marital status of brides,Never married,50+,225
1992,Previous marital status of brides,Widowed / Divorced,50+,161
1992,Previous marital status of brides,Others,50+,2115
1992,Previous marital status of brides,Total,50+,2501
1993,Previous marital status of brides,Never married,16 – 19,1498
1993,Previous marital status of brides,Widowed / Divorced,16 – 19,1
1993,Previous marital status of brides,Others,16 – 19,–
1993,Previous marital status of brides,Total,16 – 19,1499
1993,Previous marital status of brides,Never married,20 – 24,11674
1993,Previous marital status of brides,Widowed / Divorced,20 – 24,81
1993,Previous marital status of brides,Others,20 – 24,–
1993,Previous marital status of brides,Total,20 – 24,11755
1993,Previous marital status of brides,Never married,25 – 29,15579
1993,Previous marital status of brides,Widowed / Divorced,25 – 29,706
1993,Previous marital status of brides,Others,25 – 29,–
1993,Previous marital status of brides,Total,25 – 29,16285
1993,Previous marital status of brides,Never married,30 – 34,5810
1993,Previous marital status of brides,Widowed / Divorced,30 – 34,934
1993,Previous marital status of brides,Others,30 – 34,–
1993,Previous marital status of brides,Total,30 – 34,6744
1993,Previous marital status of brides,Never married,35 – 39,1357
1993,Previous marital status of brides,Widowed / Divorced,35 – 39,684
1993,Previous marital status of brides,Others,35 – 39,8
1993,Previous marital status of brides,Total,35 – 39,2049
1993,Previous marital status of brides,Never married,40 – 44,363
1993,Previous marital status of brides,Widowed / Divorced,40 – 44,324
1993,Previous marital status of brides,Others,40 – 44,109
1993,Previous marital status of brides,Total,40 – 44,796
1993,Previous marital status of brides,Never married,45 – 49,107
1993,Previous marital status of brides,Widowed / Divorced,45 – 49,143
1993,Previous marital status of brides,Others,45 – 49,193
1993,Previous marital status of brides,Total,45 – 49,443
1993,Previous marital status of brides,Never married,50+,196
1993,Previous marital status of brides,Widowed / Divorced,50+,141
1993,Previous marital status of brides,Others,50+,1773
1993,Previous marital status of brides,Total,50+,2110
1994,Previous marital status of brides,Never married,16 – 19,1413
1994,Previous marital status of brides,Widowed / Divorced,16 – 19,–
1994,Previous marital status of brides,Others,16 – 19,2
1994,Previous marital status of brides,Total,16 – 19,1415
1994,Previous marital status of brides,Never married,20 – 24,10826
1994,Previous marital status of brides,Widowed / Divorced,20 – 24,94
1994,Previous marital status of brides,Others,20 – 24,1
1994,Previous marital status of brides,Total,20 – 24,10921
1994,Previous marital status of brides,Never married,25 – 29,13793
1994,Previous marital status of brides,Widowed / Divorced,25 – 29,658
1994,Previous marital status of brides,Others,25 – 29,3
1994,Previous marital status of brides,Total,25 – 29,14454
1994,Previous marital status of brides,Never married,30 – 34,5562
1994,Previous marital status of brides,Widowed / Divorced,30 – 34,963
1994,Previous marital status of brides,Others,30 – 34,–
1994,Previous marital status of brides,Total,30 – 34,6525
1994,Previous marital status of brides,Never married,35 – 39,1372
1994,Previous marital status of brides,Widowed / Divorced,35 – 39,699
1994,Previous marital status of brides,Others,35 – 39,5
1994,Previous marital status of brides,Total,35 – 39,2076
1994,Previous marital status of brides,Never married,40 – 44,344
1994,Previous marital status of brides,Widowed / Divorced,40 – 44,352
1994,Previous marital status of brides,Others,40 – 44,47
1994,Previous marital status of brides,Total,40 – 44,743
1994,Previous marital status of brides,Never married,45 – 49,84
1994,Previous marital status of brides,Widowed / Divorced,45 – 49,152
1994,Previous marital status of brides,Others,45 – 49,151
1994,Previous marital status of brides,Total,45 – 49,387
1994,Previous marital status of brides,Never married,50+,181
1994,Previous marital status of brides,Widowed / Divorced,50+,164
1994,Previous marital status of brides,Others,50+,1398
1994,Previous marital status of brides,Total,50+,1743
1995,Previous marital status of brides,Never married,16 – 19,1213
1995,Previous marital status of brides,Widowed / Divorced,16 – 19,–
1995,Previous marital status of brides,Others,16 – 19,–
1995,Previous marital status of brides,Total,16 – 19,1213
1995,Previous marital status of brides,Never married,20 – 24,10066
1995,Previous marital status of brides,Widowed / Divorced,20 – 24,96
1995,Previous marital status of brides,Others,20 – 24,–
1995,Previous marital status of brides,Total,20 – 24,10162
1995,Previous marital status of brides,Never married,25 – 29,14618
1995,Previous marital status of brides,Widowed / Divorced,25 – 29,637
1995,Previous marital status of brides,Others,25 – 29,–
1995,Previous marital status of brides,Total,25 – 29,15255
1995,Previous marital status of brides,Never married,30 – 34,6188
1995,Previous marital status of brides,Widowed / Divorced,30 – 34,926
1995,Previous marital status of brides,Others,30 – 34,–
1995,Previous marital status of brides,Total,30 – 34,7114
1995,Previous marital status of brides,Never married,35 – 39,1510
1995,Previous marital status of brides,Widowed / Divorced,35 – 39,734
1995,Previous marital status of brides,Others,35 – 39,5
1995,Previous marital status of brides,Total,35 – 39,2249
1995,Previous marital status of brides,Never married,40 – 44,381
1995,Previous marital status of brides,Widowed / Divorced,40 – 44,399
1995,Previous marital status of brides,Others,40 – 44,50
1995,Previous marital status of brides,Total,40 – 44,830
1995,Previous marital status of brides,Never married,45 – 49,116
1995,Previous marital status of brides,Widowed / Divorced,45 – 49,171
1995,Previous marital status of brides,Others,45 – 49,158
1995,Previous marital status of brides,Total,45 – 49,445
1995,Previous marital status of brides,Never married,50+,140
1995,Previous marital status of brides,Widowed / Divorced,50+,125
1995,Previous marital status of brides,Others,50+,1253
1995,Previous marital status of brides,Total,50+,1518
1996,Previous marital status of brides,Never married,16 – 19,1126
1996,Previous marital status of brides,Widowed / Divorced,16 – 19,–
1996,Previous marital status of brides,Others,16 – 19,–
1996,Previous marital status of brides,Total,16 – 19,1126
1996,Previous marital status of brides,Never married,20 – 24,9262
1996,Previous marital status of brides,Widowed / Divorced,20 – 24,117
1996,Previous marital status of brides,Others,20 – 24,–
1996,Previous marital status of brides,Total,20 – 24,9379
1996,Previous marital status of brides,Never married,25 – 29,13483
1996,Previous marital status of brides,Widowed / Divorced,25 – 29,668
1996,Previous marital status of brides,Others,25 – 29,–
1996,Previous marital status of brides,Total,25 – 29,14151
1996,Previous marital status of brides,Never married,30 – 34,5770
1996,Previous marital status of brides,Widowed / Divorced,30 – 34,1117
1996,Previous marital status of brides,Others,30 – 34,–
1996,Previous marital status of brides,Total,30 – 34,6887
1996,Previous marital status of brides,Never married,35 – 39,1486
1996,Previous marital status of brides,Widowed / Divorced,35 – 39,737
1996,Previous marital status of brides,Others,35 – 39,2
1996,Previous marital status of brides,Total,35 – 39,2225
1996,Previous marital status of brides,Never married,40 – 44,407
1996,Previous marital status of brides,Widowed / Divorced,40 – 44,460
1996,Previous marital status of brides,Others,40 – 44,26
1996,Previous marital status of brides,Total,40 – 44,893
1996,Previous marital status of brides,Never married,45 – 49,122
1996,Previous marital status of brides,Widowed / Divorced,45 – 49,216
1996,Previous marital status of brides,Others,45 – 49,156
1996,Previous marital status of brides,Total,45 – 49,494
1996,Previous marital status of brides,Never married,50+,150
1996,Previous marital status of brides,Widowed / Divorced,50+,172
1996,Previous marital status of brides,Others,50+,1568
1996,Previous marital status of brides,Total,50+,1890
1997,Previous marital status of brides,Never married,16 – 19,1173
1997,Previous marital status of brides,Widowed / Divorced,16 – 19,–
1997,Previous marital status of brides,Others,16 – 19,–
1997,Previous marital status of brides,Total,16 – 19,1173
1997,Previous marital status of brides,Never married,20 – 24,9711
1997,Previous marital status of brides,Widowed / Divorced,20 – 24,187
1997,Previous marital status of brides,Others,20 – 24,–
1997,Previous marital status of brides,Total,20 – 24,9898
1997,Previous marital status of brides,Never married,25 – 29,14159
1997,Previous marital status of brides,Widowed / Divorced,25 – 29,799
1997,Previous marital status of brides,Others,25 – 29,–
1997,Previous marital status of brides,Total,25 – 29,14958
1997,Previous marital status of brides,Never married,30 – 34,5773
1997,Previous marital status of brides,Widowed / Divorced,30 – 34,1087
1997,Previous marital status of brides,Others,30 – 34,–
1997,Previous marital status of brides,Total,30 – 34,6860
1997,Previous marital status of brides,Never married,35 – 39,1481
1997,Previous marital status of brides,Widowed / Divorced,35 – 39,822
1997,Previous marital status of brides,Others,35 – 39,1
1997,Previous marital status of brides,Total,35 – 39,2304
1997,Previous marital status of brides,Never married,40 – 44,386
1997,Previous marital status of brides,Widowed / Divorced,40 – 44,487
1997,Previous marital status of brides,Others,40 – 44,16
1997,Previous marital status of brides,Total,40 – 44,889
1997,Previous marital status of brides,Never married,45 – 49,132
1997,Previous marital status of brides,Widowed / Divorced,45 – 49,214
1997,Previous marital status of brides,Others,45 – 49,72
1997,Previous marital status of brides,Total,45 – 49,418
1997,Previous marital status of brides,Never married,50+,135
1997,Previous marital status of brides,Widowed / Divorced,50+,179
1997,Previous marital status of brides,Others,50+,779
1997,Previous marital status of brides,Total,50+,1093
1998,Previous marital status of brides,Never married,16 – 19,1101
1998,Previous marital status of brides,Widowed / Divorced,16 – 19,2
1998,Previous marital status of brides,Others,16 – 19,–
1998,Previous marital status of brides,Total,16 – 19,1103
1998,Previous marital status of brides,Never married,20 – 24,7960
1998,Previous marital status of brides,Widowed / Divorced,20 – 24,124
1998,Previous marital status of brides,Others,20 – 24,–
1998,Previous marital status of brides,Total,20 – 24,8084
1998,Previous marital status of brides,Never married,25 – 29,11640
1998,Previous marital status of brides,Widowed / Divorced,25 – 29,710
1998,Previous marital status of brides,Others,25 – 29,–
1998,Previous marital status of brides,Total,25 – 29,12350
1998,Previous marital status of brides,Never married,30 – 34,4805
1998,Previous marital status of brides,Widowed / Divorced,30 – 34,1009
1998,Previous marital status of brides,Others,30 – 34,–
1998,Previous marital status of brides,Total,30 – 34,5814
1998,Previous marital status of brides,Never married,35 – 39,1468
1998,Previous marital status of brides,Widowed / Divorced,35 – 39,798
1998,Previous marital status of brides,Others,35 – 39,1
1998,Previous marital status of brides,Total,35 – 39,2267
1998,Previous marital status of brides,Never married,40 – 44,383
1998,Previous marital status of brides,Widowed / Divorced,40 – 44,479
1998,Previous marital status of brides,Others,40 – 44,5
1998,Previous marital status of brides,Total,40 – 44,867
1998,Previous marital status of brides,Never married,45 – 49,122
1998,Previous marital status of brides,Widowed / Divorced,45 – 49,257
1998,Previous marital status of brides,Others,45 – 49,36
1998,Previous marital status of brides,Total,45 – 49,415
1998,Previous marital status of brides,Never married,50+,96
1998,Previous marital status of brides,Widowed / Divorced,50+,192
1998,Previous marital status of brides,Others,50+,485
1998,Previous marital status of brides,Total,50+,773
1999,Previous marital status of brides,Never married,16 – 19,1057
1999,Previous marital status of brides,Widowed / Divorced,16 – 19,4
1999,Previous marital status of brides,Others,16 – 19,–
1999,Previous marital status of brides,Total,16 – 19,1061
1999,Previous marital status of brides,Never married,20 – 24,7444
1999,Previous marital status of brides,Widowed / Divorced,20 – 24,134
1999,Previous marital status of brides,Others,20 – 24,–
1999,Previous marital status of brides,Total,20 – 24,7578
1999,Previous marital status of brides,Never married,25 – 29,11627
1999,Previous marital status of brides,Widowed / Divorced,25 – 29,752
1999,Previous marital status of brides,Others,25 – 29,–
1999,Previous marital status of brides,Total,25 – 29,12379
1999,Previous marital status of brides,Never married,30 – 34,4901
1999,Previous marital status of brides,Widowed / Divorced,30 – 34,1064
1999,Previous marital status of brides,Others,30 – 34,–
1999,Previous marital status of brides,Total,30 – 34,5965
1999,Previous marital status of brides,Never married,35 – 39,1497
1999,Previous marital status of brides,Widowed / Divorced,35 – 39,830
1999,Previous marital status of brides,Others,35 – 39,1
1999,Previous marital status of brides,Total,35 – 39,2328
1999,Previous marital status of brides,Never married,40 – 44,316
1999,Previous marital status of brides,Widowed / Divorced,40 – 44,485
1999,Previous marital status of brides,Others,40 – 44,1
1999,Previous marital status of brides,Total,40 – 44,802
1999,Previous marital status of brides,Never married,45 – 49,113
1999,Previous marital status of brides,Widowed / Divorced,45 – 49,234
1999,Previous marital status of brides,Others,45 – 49,27
1999,Previous marital status of brides,Total,45 – 49,374
1999,Previous marital status of brides,Never married,50+,85
1999,Previous marital status of brides,Widowed / Divorced,50+,207
1999,Previous marital status of brides,Others,50+,508
1999,Previous marital status of brides,Total,50+,800
2000,Previous marital status of brides,Never married,16 – 19,966
2000,Previous marital status of brides,Widowed / Divorced,16 – 19,–
2000,Previous marital status of brides,Others,16 – 19,–
2000,Previous marital status of brides,Total,16 – 19,966
2000,Previous marital status of brides,Never married,20 – 24,6613
2000,Previous marital status of brides,Widowed / Divorced,20 – 24,115
2000,Previous marital status of brides,Others,20 – 24,–
2000,Previous marital status of brides,Total,20 – 24,6728
2000,Previous marital status of brides,Never married,25 – 29,11864
2000,Previous marital status of brides,Widowed / Divorced,25 – 29,702
2000,Previous marital status of brides,Others,25 – 29,–
2000,Previous marital status of brides,Total,25 – 29,12566
2000,Previous marital status of brides,Never married,30 – 34,5018
2000,Previous marital status of brides,Widowed / Divorced,30 – 34,1083
2000,Previous marital status of brides,Others,30 – 34,–
2000,Previous marital status of brides,Total,30 – 34,6101
2000,Previous marital status of brides,Never married,35 – 39,1568
2000,Previous marital status of brides,Widowed / Divorced,35 – 39,921
2000,Previous marital status of brides,Others,35 – 39,–
2000,Previous marital status of brides,Total,35 – 39,2489
2000,Previous marital status of brides,Never married,40 – 44,359
2000,Previous marital status of brides,Widowed / Divorced,40 – 44,564
2000,Previous marital status of brides,Others,40 – 44,–
2000,Previous marital status of brides,Total,40 – 44,923
2000,Previous marital status of brides,Never married,45 – 49,124
2000,Previous marital status of brides,Widowed / Divorced,45 – 49,301
2000,Previous marital status of brides,Others,45 – 49,14
2000,Previous marital status of brides,Total,45 – 49,439
2000,Previous marital status of brides,Never married,50+,93
2000,Previous marital status of brides,Widowed / Divorced,50+,257
2000,Previous marital status of brides,Others,50+,317
2000,Previous marital status of brides,Total,50+,667
2001,Previous marital status of brides,Never married,16 – 19,946
2001,Previous marital status of brides,Widowed / Divorced,16 – 19,1
2001,Previous marital status of brides,Others,16 – 19,–
2001,Previous marital status of brides,Total,16 – 19,947
2001,Previous marital status of brides,Never married,20 – 24,7061
2001,Previous marital status of brides,Widowed / Divorced,20 – 24,103
2001,Previous marital status of brides,Others,20 – 24,–
2001,Previous marital status of brides,Total,20 – 24,7164
2001,Previous marital status of brides,Never married,25 – 29,12401
2001,Previous marital status of brides,Widowed / Divorced,25 – 29,742
2001,Previous marital status of brides,Others,25 – 29,–
2001,Previous marital status of brides,Total,25 – 29,13143
2001,Previous marital status of brides,Never married,30 – 34,5555
2001,Previous marital status of brides,Widowed / Divorced,30 – 34,1218
2001,Previous marital status of brides,Others,30 – 34,–
2001,Previous marital status of brides,Total,30 – 34,6773
2001,Previous marital status of brides,Never married,35 – 39,1627
2001,Previous marital status of brides,Widowed / Divorced,35 – 39,1037
2001,Previous marital status of brides,Others,35 – 39,–
2001,Previous marital status of brides,Total,35 – 39,2664
2001,Previous marital status of brides,Never married,40 – 44,395
2001,Previous marital status of brides,Widowed / Divorced,40 – 44,631
2001,Previous marital status of brides,Others,40 – 44,1
2001,Previous marital status of brides,Total,40 – 44,1027
2001,Previous marital status of brides,Never married,45 – 49,125
2001,Previous marital status of brides,Widowed / Divorced,45 – 49,354
2001,Previous marital status of brides,Others,45 – 49,7
2001,Previous marital status of brides,Total,45 – 49,486
2001,Previous marital status of brides,Never married,50+,101
2001,Previous marital status of brides,Widowed / Divorced,50+,261
2001,Previous marital status of brides,Others,50+,259
2001,Previous marital status of brides,Total,50+,621
2002,Previous marital status of brides,Never married,16 – 19,865
2002,Previous marital status of brides,Widowed / Divorced,16 – 19,–
2002,Previous marital status of brides,Others,16 – 19,–
2002,Previous marital status of brides,Total,16 – 19,865
2002,Previous marital status of brides,Never married,20 – 24,6801
2002,Previous marital status of brides,Widowed / Divorced,20 – 24,97
2002,Previous marital status of brides,Others,20 – 24,–
2002,Previous marital status of brides,Total,20 – 24,6898
2002,Previous marital status of brides,Never married,25 – 29,11379
2002,Previous marital status of brides,Widowed / Divorced,25 – 29,726
2002,Previous marital status of brides,Others,25 – 29,–
2002,Previous marital status of brides,Total,25 – 29,12105
2002,Previous marital status of brides,Never married,30 – 34,5519
2002,Previous marital status of brides,Widowed / Divorced,30 – 34,1376
2002,Previous marital status of brides,Others,30 – 34,–
2002,Previous marital status of brides,Total,30 – 34,6895
2002,Previous marital status of brides,Never married,35 – 39,1691
2002,Previous marital status of brides,Widowed / Divorced,35 – 39,1190
2002,Previous marital status of brides,Others,35 – 39,–
2002,Previous marital status of brides,Total,35 – 39,2881
2002,Previous marital status of brides,Never married,40 – 44,436
2002,Previous marital status of brides,Widowed / Divorced,40 – 44,759
2002,Previous marital status of brides,Others,40 – 44,–
2002,Previous marital status of brides,Total,40 – 44,1195
2002,Previous marital status of brides,Never married,45 – 49,128
2002,Previous marital status of brides,Widowed / Divorced,45 – 49,446
2002,Previous marital status of brides,Others,45 – 49,3
2002,Previous marital status of brides,Total,45 – 49,577
2002,Previous marital status of brides,Never married,50+,90
2002,Previous marital status of brides,Widowed / Divorced,50+,366
2002,Previous marital status of brides,Others,50+,198
2002,Previous marital status of brides,Total,50+,654
2003,Previous marital status of brides,Never married,16 – 19,858
2003,Previous marital status of brides,Widowed / Divorced,16 – 19,–
2003,Previous marital status of brides,Others,16 – 19,–
2003,Previous marital status of brides,Total,16 – 19,858
2003,Previous marital status of brides,Never married,20 – 24,7279
2003,Previous marital status of brides,Widowed / Divorced,20 – 24,85
2003,Previous marital status of brides,Others,20 – 24,–
2003,Previous marital status of brides,Total,20 – 24,7364
2003,Previous marital status of brides,Never married,25 – 29,12632
2003,Previous marital status of brides,Widowed / Divorced,25 – 29,699
2003,Previous marital status of brides,Others,25 – 29,–
2003,Previous marital status of brides,Total,25 – 29,13331
2003,Previous marital status of brides,Never married,30 – 34,6542
2003,Previous marital status of brides,Widowed / Divorced,30 – 34,1578
2003,Previous marital status of brides,Others,30 – 34,–
2003,Previous marital status of brides,Total,30 – 34,8120
2003,Previous marital status of brides,Never married,35 – 39,1837
2003,Previous marital status of brides,Widowed / Divorced,35 – 39,1370
2003,Previous marital status of brides,Others,35 – 39,–
2003,Previous marital status of brides,Total,35 – 39,3207
2003,Previous marital status of brides,Never married,40 – 44,484
2003,Previous marital status of brides,Widowed / Divorced,40 – 44,850
2003,Previous marital status of brides,Others,40 – 44,–
2003,Previous marital status of brides,Total,40 – 44,1334
2003,Previous marital status of brides,Never married,45 – 49,119
2003,Previous marital status of brides,Widowed / Divorced,45 – 49,509
2003,Previous marital status of brides,Others,45 – 49,2
2003,Previous marital status of brides,Total,45 – 49,630
2003,Previous marital status of brides,Never married,50+,86
2003,Previous marital status of brides,Widowed / Divorced,50+,382
2003,Previous marital status of brides,Others,50+,127
2003,Previous marital status of brides,Total,50+,595
2004,Previous marital status of brides,Never married,16 – 19,839
2004,Previous marital status of brides,Widowed / Divorced,16 – 19,–
2004,Previous marital status of brides,Others,16 – 19,–
2004,Previous marital status of brides,Total,16 – 19,839
2004,Previous marital status of brides,Never married,20 – 24,7981
2004,Previous marital status of brides,Widowed / Divorced,20 – 24,115
2004,Previous marital status of brides,Others,20 – 24,–
2004,Previous marital status of brides,Total,20 – 24,8096
2004,Previous marital status of brides,Never married,25 – 29,14106
2004,Previous marital status of brides,Widowed / Divorced,25 – 29,817
2004,Previous marital status of brides,Others,25 – 29,–
2004,Previous marital status of brides,Total,25 – 29,14923
2004,Previous marital status of brides,Never married,30 – 34,8090
2004,Previous marital status of brides,Widowed / Divorced,30 – 34,1924
2004,Previous marital status of brides,Others,30 – 34,–
2004,Previous marital status of brides,Total,30 – 34,10014
2004,Previous marital status of brides,Never married,35 – 39,2202
2004,Previous marital status of brides,Widowed / Divorced,35 – 39,1759
2004,Previous marital status of brides,Others,35 – 39,–
2004,Previous marital status of brides,Total,35 – 39,3961
2004,Previous marital status of brides,Never married,40 – 44,581
2004,Previous marital status of brides,Widowed / Divorced,40 – 44,1276
2004,Previous marital status of brides,Others,40 – 44,–
2004,Previous marital status of brides,Total,40 – 44,1857
2004,Previous marital status of brides,Never married,45 – 49,187
2004,Previous marital status of brides,Widowed / Divorced,45 – 49,701
2004,Previous marital status of brides,Others,45 – 49,1
2004,Previous marital status of brides,Total,45 – 49,889
2004,Previous marital status of brides,Never married,50+,121
2004,Previous marital status of brides,Widowed / Divorced,50+,529
2004,Previous marital status of brides,Others,50+,147
2004,Previous marital status of brides,Total,50+,797
2005,Previous marital status of brides,Never married,16 – 19,935
2005,Previous marital status of brides,Widowed / Divorced,16 – 19,–
2005,Previous marital status of brides,Others,16 – 19,–
2005,Previous marital status of brides,Total,16 – 19,935
2005,Previous marital status of brides,Never married,20 – 24,7972
2005,Previous marital status of brides,Widowed / Divorced,20 – 24,142
2005,Previous marital status of brides,Others,20 – 24,–
2005,Previous marital status of brides,Total,20 – 24,8114
2005,Previous marital status of brides,Never married,25 – 29,13243
2005,Previous marital status of brides,Widowed / Divorced,25 – 29,988
2005,Previous marital status of brides,Others,25 – 29,–
2005,Previous marital status of brides,Total,25 – 29,14231
